104	600886	国投电力	8.18	股吧 行情 档案 资讯	公用事业	北京市	0.14	0.21	5.58	3.59	67.86	67.86	555.10
105	600867	通化东宝	16.62	股吧 行情 档案 资讯	医药生物	通化市	0.15	0.14	2.56	5.43	20.34	20.34	338.05
106	600848	上海临港	22.11	股吧 行情 档案 资讯	房地产	上海市	0.09	0.10	6.58	1.47	21.02	11.20	223.92
107	600837	海通证券	14.81	股吧 行情 档案 资讯	金融	上海市	0.73	0.20	11.11	1.80	115.02	115.02	1198.44
108	600809	山西汾酒	147.55	股吧 行情 档案 资讯	食品饮料	吕梁市	0.26	1.41	9.96	15.19	8.72	8.66	1277.56
109	600795	国电电力	1.88	股吧 行情 档案 资讯	公用事业	大连市	0.14	-0.04	2.55	-1.36	196.50	196.50	369.43
110	600760	中航沈飞	35.22	股吧 行情 档案 资讯	交运设备	威海市	0.09	0.43	6.78	6.58	14.00	3.99	140.36
111	600745	闻泰科技	130.84	股吧 行情 档案 资讯	电子设备	黄石市	0.38	0.57	19.28	2.97	11.24	6.37	833.80
112	600741	华域汽车	22.64	股吧 行情 档案 资讯	交运设备	上海市	0.22	0.04	15.56	0.27	31.53	31.53	713.78
113	600705	中航资本	4.47	股吧 行情 档案 资讯	金融	哈尔滨市	0.15	0.09	3.42	2.54	89.76	89.43	399.77
114	600703	三安光电	25.28	股吧 行情 档案 资讯	电子设备	荆州市	0.37	0.10	5.43	1.78	44.79	40.78	1031.03
115	600690	海尔智家	17.98	股吧 行情 档案 资讯	家电	青岛市	0.45	0.16	7.33	2.22	65.80	65.80	1134.28
116	600674	川投能源	9.50	股吧 行情 档案 资讯	公用事业	成都市	0.08	0.12	6.13	1.92	44.02	44.02	418.20
117	600660	福耀玻璃	22.01	股吧 行情 档案 资讯	交运设备	福州市	0.20	0.18	8.72	2.13	25.09	25.09	440.86
118	600655	豫园股份	9.10	股吧 行情 档案 资讯	商贸零售	上海市	0.09	0.08	8.11	1.03	38.84	16.03	145.87
119	600637	东方明珠	10.02	股吧 行情 档案 资讯	文化传媒	上海市	0.13	0.08	8.54	0.98	34.15	34.15	342.13
120	600606	绿地控股	7.96	股吧 行情 档案 资讯	房地产	上海市	0.18	0.30	6.34	4.64	121.68	121.68	968.59
121	600588	用友网络	46.02	股吧 行情 档案 资讯	信息技术	北京市	0.49	-0.10	2.78	-3.36	32.49	32.36	1489.02
122	600585	海螺水泥	56.77	股吧 行情 档案 资讯	建材	芜湖市	0.88	0.93	26.85	3.51	52.99	52.99	2270.63
123	600583	海油工程	4.75	股吧 行情 档案 资讯	能源	天津市	0.07	-0.07	5.05	-1.35	44.21	44.21	210.01
124	600570	恒生电子	105.95	股吧 行情 档案 资讯	信息技术	杭州市	0.57	-0.06	5.52	-1.01	10.44	10.44	1106.21
125	600547	山东黄金	36.54	股吧 行情 档案 资讯	有色金属	济南市	0.31	0.18	7.66	2.40	31.00	28.50	858.81
126	600522	中天科技	11.46	股吧 行情 档案 资讯	信息技术	南通市	0.18	0.12	6.75	1.67	30.66	30.66	351.38
127	600519	贵州茅台	1541.79	股吧 行情 档案 资讯	食品饮料	遵义市	5.04	10.42	118.69	9.18	12.56	12.56	19367.93
128	600516	方大炭素	6.81	股吧 行情 档案 资讯	有色金属	兰州市	0.10	0.03	5.56	0.52	38.06	38.06	259.19
129	600498	烽火通信	30.14	股吧 行情 档案 资讯	信息技术	武汉市	0.14	-0.16	8.99	-1.67	11.71	11.07	333.63
130	600489	中金黄金	9.39	股吧 行情 档案 资讯	有色金属	北京市	0.11	0.04	3.92	1.10	46.43	17.14	160.94
131	600487	亨通光电	17.06	股吧 行情 档案 资讯	信息技术	苏州市	0.15	0.12	7.02	1.69	19.53	18.62	317.62
132	600482	中国动力	16.23	股吧 行情 档案 资讯	交运设备	保定市	0.07	-0.02	16.11	-0.13	21.61	8.70	141.17
133	600438	通威股份	19.01	股吧 行情 档案 资讯	农林牧渔	成都市	0.32	0.09	5.17	1.73	42.88	42.88	815.12
134	600436	片仔癀	172.07	股吧 行情 档案 资讯	医药生物	漳州市	0.34	0.78	11.71	6.83	6.03	6.03	1038.13
135	600406	国电南瑞	20.95	股吧 行情 档案 资讯	电气设备	南京市	0.31	0.02	6.62	0.25	46.22	29.35	614.86
136	600398	海澜之家	6.37	股吧 行情 档案 资讯	纺织服装	无锡市	0.05	0.07	2.99	2.16	44.20	44.20	281.56
137	600390	五矿资本	7.89	股吧 行情 档案 资讯	有色金属	长沙市	0.11	0.21	7.88	2.70	44.98	44.98	354.90
138	600383	金地集团	16.22	股吧 行情 档案 资讯	房地产	深圳市	0.24	0.29	11.69	2.42	45.15	45.15	732.27
139	600372	中航电子	13.60	股吧 行情 档案 资讯	交运设备	北京市	0.05	0.04	4.24	0.95	17.60	17.60	239.30
140	600369	西南证券	5.33	股吧 行情 档案 资讯	金融	重庆市	0.09	0.04	3.51	1.03	56.45	56.45	300.88
141	600362	江西铜业	14.48	股吧 行情 档案 资讯	有色金属	鹰潭市	0.10	0.05	14.08	0.32	34.63	34.63	300.50
142	600352	浙江龙盛	13.47	股吧 行情 档案 资讯	基础化工	绍兴市	0.23	0.37	7.88	4.69	32.53	32.53	438.22
143	600346	恒力石化	14.88	股吧 行情 档案 资讯	基础化工	大连市	0.20	0.31	5.47	5.73	70.39	46.32	689.23
144	600340	华夏幸福	24.77	股吧 行情 档案 资讯	房地产	廊坊市	0.19	0.95	15.83	5.80	30.11	29.79	737.95
145	600332	白云山	33.76	股吧 行情 档案 资讯	医药生物	广州市	0.12	0.73	15.61	4.78	16.26	16.26	474.63
146	600309	万华化学	53.60	股吧 行情 档案 资讯	基础化工	烟台市	0.55	0.44	13.92	3.20	31.40	14.24	763.13
147	600299	安迪苏	12.43	股吧 行情 档案 资讯	医药生物	北京市	0.02	0.11	5.25	2.11	26.82	26.82	333.36
148	600297	广汇汽车	3.35	股吧 行情 档案 资讯	交运设备	大连市	0.09	-0.05	4.62	-1.05	81.10	81.10	271.70
149	600276	恒瑞医药	91.88	股吧 行情 档案 资讯	医药生物	连云港市	2.20	0.29	5.90	5.17	53.07	52.96	4865.72
150	600271	航天信息	18.23	股吧 行情 档案 资讯	信息技术	北京市	0.13	-0.23	5.95	-3.62	18.57	18.53	337.77
151	600233	圆通速递	15.19	股吧 行情 档案 资讯	交通运输	大连市	0.12	0.10	5.10	1.87	31.60	31.58	479.65
152	600221	海航控股	1.61	股吧 行情 档案 资讯	交通运输	海口市	0.12	-0.37	2.42	-12.85	168.06	168.05	264.62
153	600219	南山铝业	2.17	股吧 行情 档案 资讯	有色金属	烟台市	0.10	0.02	3.29	0.75	119.50	119.50	259.33
154	600208	新湖中宝	3.23	股吧 行情 档案 资讯	房地产	嘉兴市	0.09	0.02	4.03	0.39	85.99	85.98	277.72
155	600196	复星医药	34.42	股吧 行情 档案 资讯	医药生物	上海市	0.27	0.23	12.77	1.79	25.63	25.63	692.17
156	600188	兖州煤业	9.66	股吧 行情 档案 资讯	能源	济宁市	0.05	0.31	10.60	2.43	48.60	48.60	285.92
157	600183	生益科技	30.70	股吧 行情 档案 资讯	电子设备	东莞市	0.22	0.15	4.04	3.76	22.85	22.85	701.34
158	600177	雅戈尔	6.34	股吧 行情 档案 资讯	房地产	宁波市	0.11	0.22	5.29	3.80	46.29	46.29	293.48
159	600176	中国巨石	9.70	股吧 行情 档案 资讯	基础化工	嘉兴市	0.13	0.09	4.57	1.96	35.02	35.02	339.72
160	600170	上海建工	3.20	股吧 行情 档案 资讯	建筑	上海市	0.09	0.01	2.99	0.38	89.04	89.04	284.94
161	600118	中国卫星	31.43	股吧 行情 档案 资讯	交运设备	北京市	0.12	0.04	4.82	0.83	11.82	11.82	371.66
162	600115	东方航空	4.44	股吧 行情 档案 资讯	交通运输	上海市	0.13	-0.24	3.82	-6.08	163.80	144.68	435.50
163	600111	北方稀土	9.86	股吧 行情 档案 资讯	有色金属	包头市	0.14	0.04	2.67	1.50	36.33	36.33	358.22
164	600109	国金证券	13.95	股吧 行情 档案 资讯	金融	成都市	0.20	0.16	6.99	2.27	30.24	30.24	421.90
165	600104	上汽集团	18.65	股吧 行情 档案 资讯	交运设备	上海市	0.41	0.10	21.34	0.45	116.83	116.83	2178.97
166	600089	特变电工	7.18	股吧 行情 档案 资讯	电气设备	昌吉回族自治州	0.17	0.11	8.29	1.16	37.14	37.14	266.69
167	600085	同仁堂	27.98	股吧 行情 档案 资讯	医药生物	北京市	0.10	0.17	6.92	2.55	13.71	13.71	383.74
168	600068	葛洲坝	6.41	股吧 行情 档案 资讯	建筑	武汉市	0.11	0.04	6.63	0.78	46.05	46.05	295.17
169	600066	宇通客车	12.81	股吧 行情 档案 资讯	交运设备	郑州市	0.11	-0.06	7.39	-0.82	22.14	22.14	283.61
170	600061	国投资本	14.31	股吧 行情 档案 资讯	金融	上海市	0.15	0.15	9.38	1.61	42.27	41.74	597.28
171	600050	中国联通	5.08	股吧 行情 档案 资讯	信息技术	北京市	0.30	0.04	4.65	0.97	310.26	215.00	1092.20
172	600048	保利地产	16.35	股吧 行情 档案 资讯	房地产	广州市	0.76	0.20	12.11	1.50	119.34	119.34	1951.25
173	600038	中直股份	42.00	股吧 行情 档案 资讯	交运设备	哈尔滨市	0.08	0.09	13.97	0.63	5.89	5.89	247.58
174	600036	招商银行	36.74	股吧 行情 档案 资讯	金融	深圳市	2.36	1.10	24.11	4.44	252.20	252.20	7579.07
175	600031	三一重工	20.43	股吧 行情 档案 资讯	机械设备	北京市	0.78	0.26	5.51	4.83	84.64	84.63	1729.02
176	600030	中信证券	28.67	股吧 行情 档案 资讯	金融	深圳市	1.44	0.32	13.72	2.40	129.27	120.93	2813.86
177	600029	南方航空	5.42	股吧 行情 档案 资讯	交通运输	广州市	0.16	-0.43	4.76	-8.61	153.29	111.77	439.64
178	600028	中国石化	4.08	股吧 行情 档案 资讯	能源	北京市	0.35	-0.16	5.88	-2.73	1210.71	1210.71	3898.76
179	600027	华电国际	3.61	股吧 行情 档案 资讯	公用事业	济南市	0.08	0.10	4.71	1.84	98.63	87.13	252.55
180	600025	华能水电	3.86	股吧 行情 档案 资讯	公用事业	昆明市	0.05	0.00	2.61	-0.10	180.00	89.28	344.62
181	600019	宝钢股份	4.81	股吧 行情 档案 资讯	钢铁	上海市	0.27	0.07	8.06	0.86	222.71	221.56	1065.70
182	600018	上港集团	4.48	股吧 行情 档案 资讯	交通运输	上海市	0.10	0.07	3.62	2.01	231.74	231.74	1038.18
183	600016	民生银行	5.94	股吧 行情 档案 资讯	金融	北京市	0.81	0.38	10.68	3.15	437.82	437.82	2106.45
184	600015	华夏银行	6.51	股吧 行情 档案 资讯	金融	北京市	0.25	0.26	13.83	1.79	153.87	128.23	834.76
185	600011	华能国际	4.47	股吧 行情 档案 资讯	公用事业	北京市	0.13	0.11	4.73	2.05	156.98	156.98	491.60
